,Sentence,Intent,Color,Item
16280,qhszlmpwdl,unknown,unknown,unknown
16281,rwoqsutwxwchyjaajk,unknown,unknown,unknown
16282,vpqhj,unknown,unknown,unknown
16283,zjtzdzverlmywp,unknown,unknown,unknown
16284,kyxysjkcgas,unknown,unknown,unknown
16285,avhbvyngbotf,unknown,unknown,unknown
16286,sojilmlmuc,unknown,unknown,unknown
16287,oixdbyxekiudu,unknown,unknown,unknown
16288,fodygbp,unknown,unknown,unknown
16289,jfupelmyohasdewguy,unknown,unknown,unknown
16290,wbajk,unknown,unknown,unknown
16291,lmfxlmtijgzq,unknown,unknown,unknown
16292,zpriyng,unknown,unknown,unknown
16293,zure,unknown,unknown,unknown
16294,ypgrykkyrebpvz,unknown,unknown,unknown
16295,xvxoskoqwpobsb,unknown,unknown,unknown
16296,cilmehav,unknown,unknown,unknown
16297,kvacilmyitlmpxnt,unknown,unknown,unknown
16298,tkkp,unknown,unknown,unknown
16299,do you have a purple t-shirt,Check Availability,purple,t-shirt
16300,gvesvyyubhbvr,unknown,unknown,unknown
16301,I'd like to take a dress can i find,Making Order,unknown,dress
16302,I need to order a short i am looking for,Making Order,unknown,short
16303,tyxqj,unknown,unknown,unknown
16304,ktqsifjjej,unknown,unknown,unknown
16305,yuykszgjv,unknown,unknown,unknown
16306,cyjuzh,unknown,unknown,unknown
16307,I want to order a dress do you still have,Making Order,unknown,dress
16308,tydqvgxwhcqvdunqo,unknown,unknown,unknown
16309,jzhcjotbj,unknown,unknown,unknown
16310,lmgoy,unknown,unknown,unknown
16311,I need to order a shoes do you have,Making Order,unknown,shoes
16312,drobsxzywz,unknown,unknown,unknown
16313,may i ask for a orange body,Check Availability,orange,body
16314,bfgzklmabwh,unknown,unknown,unknown
16315,kvudcnlmqjyqsva,unknown,unknown,unknown
16316,baghvfj,unknown,unknown,unknown
16317,rnxdeobabursbhis,unknown,unknown,unknown
16318,xuiiyvxdoh,unknown,unknown,unknown
16319,gudtznggavqgqokcy,unknown,unknown,unknown
16320,rsrjlmaidkfudrc,unknown,unknown,unknown
16321,qhzvuruyjkajjyclmo,unknown,unknown,unknown
16322,I'd like to buy a short i am looking for,Making Order,unknown,short
16323,uzglm,unknown,unknown,unknown
16324,stbfbd,unknown,unknown,unknown
16325,ezcwlmwfyhzathhbvb,unknown,unknown,unknown
16326,what is the price of a red hat,Asking for the price,red,hat
16327,ulmkecelmv,unknown,unknown,unknown
16328,what about the blue short,Check Availability,blue,short
16329,lmadujrckfgfkvgx,unknown,unknown,unknown
16330,do you still have a olive pullover,Check Availability,olive,pullover
16331,I need to buy a shirt is there,Making Order,unknown,shirt
16332,hhhweyhyzrdkn,unknown,unknown,unknown
16333,qfrutnviteae,unknown,unknown,unknown
16334,ginypsxq,unknown,unknown,unknown
16335,tsnxyqjxnjj,unknown,unknown,unknown
16336,jxsoitdugnicdegcvfy,unknown,unknown,unknown
16337,hvgsyshoasgnrtc,unknown,unknown,unknown
16338,xlmqvwb,unknown,unknown,unknown
16339,qvucpqcx,unknown,unknown,unknown
16340,uhycefulmxlmpcikdr,unknown,unknown,unknown
16341,hgxxqfjhp,unknown,unknown,unknown
16342,tgqrtz,unknown,unknown,unknown
16343,I would like to order a jeans can i find,Making Order,unknown,jeans
16344,ojor,unknown,unknown,unknown
16345,xkwzsbfo,unknown,unknown,unknown
16346,atuchjjbtefcbqacszq,unknown,unknown,unknown
16347,zlmyvptkuawhfvg,unknown,unknown,unknown
16348,ddeqlmgwufyal,unknown,unknown,unknown
16349,dvqlmxhdjwoko,unknown,unknown,unknown
16350,acblmzortfhidp,unknown,unknown,unknown
16351,icgb,unknown,unknown,unknown
16352,kvsah,unknown,unknown,unknown
16353,He was talking,unknown,unknown,unknown
16354,vgiktjetqzgvbl,unknown,unknown,unknown
16355,what is the price of a olive pullover,Asking for the price,olive,pullover
16356,hsncrohqyxbgdtweu,unknown,unknown,unknown
16357,what is the price of a purple hat,Asking for the price,purple,hat
16358,ccysncbzlmwiiqkst,unknown,unknown,unknown
16359,ufvanapcunjlmenp,unknown,unknown,unknown
16360,ubcr,unknown,unknown,unknown
16361,bcilmnsihwuzvwgcsf,unknown,unknown,unknown
16362,odrjylmobb,unknown,unknown,unknown
16363,I'd like to add a jeans can i find,Making Order,unknown,jeans
16364,knfnfkqiu,unknown,unknown,unknown
16365,juwblmtpgadzpddyii,unknown,unknown,unknown
16366,yzqvyfcadan,unknown,unknown,unknown
16367,brvfowypz,unknown,unknown,unknown
16368,gtvkoshjk,unknown,unknown,unknown
16369,wqdavlmzbg,unknown,unknown,unknown
16370,ixq,unknown,unknown,unknown
16371,nyyfrnbg,unknown,unknown,unknown
16372,ztv,unknown,unknown,unknown
16373,kehh,unknown,unknown,unknown
16374,how much does a brown chemise cost,Asking for the price,brown,chemise
16375,vfphgzrsxy,unknown,unknown,unknown
16376,qkg,unknown,unknown,unknown
16377,isyrrkcyprgg,unknown,unknown,unknown
16378,gukfq,unknown,unknown,unknown
16379,I need to order a chemise can i find,Making Order,unknown,chemise
16380,bxwdczowcvhsvvkd,unknown,unknown,unknown
16381,qtazypbcvfqq,unknown,unknown,unknown
16382,htppzfai,unknown,unknown,unknown
16383,cfvvv,unknown,unknown,unknown
16384,cwaashzbowkhtvs,unknown,unknown,unknown
16385,pvqtd,unknown,unknown,unknown
16386,I need to buy a i am looking for,Making Order,unknown,unknown
16387,tfiwpe,unknown,unknown,unknown
16388,oysxrucf,unknown,unknown,unknown
16389,vfospiwnsjixnxku,unknown,unknown,unknown
16390,enzwwsg,unknown,unknown,unknown
16391,xkiyulmeajuxhs,unknown,unknown,unknown
16392,ztccichlmin,unknown,unknown,unknown
16393,lmtuo,unknown,unknown,unknown
16394,tnewrzlmeb,unknown,unknown,unknown
16395,gojlmixjepqt,unknown,unknown,unknown
16396,bsak,unknown,unknown,unknown
16397,wrcdkvulmtfserybuw,unknown,unknown,unknown
16398,dtshozgblmvnvnlm,unknown,unknown,unknown
16399,fortbrnkygxlmf,unknown,unknown,unknown
16400,clmp,unknown,unknown,unknown
16401,epijuqgfrfzghv,unknown,unknown,unknown
16402,I would like to buy a do you still have,Making Order,unknown,unknown
16403,qnchfuqwdeqstds,unknown,unknown,unknown
16404,oioj,unknown,unknown,unknown
16405,yzzokabjngrwgiigytz,unknown,unknown,unknown
16406,I would like to add a short is there available,Making Order,unknown,short
16407,ftd,unknown,unknown,unknown
16408,I'd like to add a pullover is there,Making Order,unknown,pullover
16409,uxvhsywwvdndp,unknown,unknown,unknown
16410,qpsntxdiiitigdwvxe,unknown,unknown,unknown
16411,lmtgkghhkgyjxk,unknown,unknown,unknown
16412,knweagxiwxkvjtzih,unknown,unknown,unknown
16413,how much does a red jeans cost,Asking for the price,red,jeans
16414,may i ask for a jeans,unknown,unknown,jeans
16415,tpgzvfpzdfohpjabgj,unknown,unknown,unknown
16416,jatteqjbxgt,unknown,unknown,unknown
16417,kvxxdfehopcyu,unknown,unknown,unknown
16418,wke,unknown,unknown,unknown
16419,jjzqzbwppkt,unknown,unknown,unknown
16420,bjhkzattpelmzxpf,unknown,unknown,unknown
16421,ujtdrx,unknown,unknown,unknown
16422,yqtdzpgw,unknown,unknown,unknown
16423,hequqzwkrtwnwzdoxx,unknown,unknown,unknown
16424,tpsbcfckinxdecq,unknown,unknown,unknown
16425,gnsflmcdqtxbyig,unknown,unknown,unknown
16426,gfip,unknown,unknown,unknown
16427,keqjvsw,unknown,unknown,unknown
16428,uteqdqi,unknown,unknown,unknown
16429,zkgeaofzzcpbpb,unknown,unknown,unknown
16430,poojupv,unknown,unknown,unknown
16431,xfujpvdkiqciqsa,unknown,unknown,unknown
16432,sndhjzhizeroyo,unknown,unknown,unknown
16433,Maria is dancing,unknown,unknown,unknown
16434,ypr,unknown,unknown,unknown
16435,ynypeyctfrxlmgwjukn,unknown,unknown,unknown
16436,vijzjo,unknown,unknown,unknown
16437,lmyqfazglmkgz,unknown,unknown,unknown
16438,yrce,unknown,unknown,unknown
16439,qkq,unknown,unknown,unknown
16440,sduq,unknown,unknown,unknown
16441,cxntqqxtdb,unknown,unknown,unknown
16442,zhedthxrxatydpidpgz,unknown,unknown,unknown
16443,orkasdlmrovbcghx,unknown,unknown,unknown
16444,yrxrktqjw,unknown,unknown,unknown
16445,hnrqpfwfblmfohspx,unknown,unknown,unknown
16446,rgpoinascqexb,unknown,unknown,unknown
16447,zutnvpbhvp,unknown,unknown,unknown
16448,kesgcdpbvxxqrrhxn,unknown,unknown,unknown
16449,xybafjlmqw,unknown,unknown,unknown
16450,vhsfcc,unknown,unknown,unknown
16451,cavcqbeowpplm,unknown,unknown,unknown
16452,gngtgynej,unknown,unknown,unknown
16453,xquq,unknown,unknown,unknown
16454,rlmbowf,unknown,unknown,unknown
16455,szhpbfyqbd,unknown,unknown,unknown
16456,kafkqhbbaxlmlmydx,unknown,unknown,unknown
16457,udqhuhjnbgi,unknown,unknown,unknown
16458,cpntptyfjbcdodgsn,unknown,unknown,unknown
16459,arpcfwiaecfvx,unknown,unknown,unknown
16460,zejjlmwhdf,unknown,unknown,unknown
16461,fsbvniyi,unknown,unknown,unknown
16462,oxjptpujpfu,unknown,unknown,unknown
16463,eyfwrgxt,unknown,unknown,unknown
16464,do you have a blue body,Check Availability,blue,body
16465,xqenocieowlmu,unknown,unknown,unknown
16466,lmcrxsid,unknown,unknown,unknown
16467,zadizbaeqilmz,unknown,unknown,unknown
16468,wgnycxw,unknown,unknown,unknown
16469,lmqjrdkfaocdrz,unknown,unknown,unknown
16470,ydatqcqfq,unknown,unknown,unknown
16471,nlmfhhtxoetqaq,unknown,unknown,unknown
16472,ntebywupr,unknown,unknown,unknown
16473,qvkjqj,unknown,unknown,unknown
16474,rqrzgpaiidlmzcw,unknown,unknown,unknown
16475,jvpsy,unknown,unknown,unknown
16476,pydqnhyzahsgj,unknown,unknown,unknown
16477,zwfcisfskunxpkfpuqj,unknown,unknown,unknown
16478,orpxcxwryfiebp,unknown,unknown,unknown
16479,opwzkydvsv,unknown,unknown,unknown
16480,ewtptslmzpji,unknown,unknown,unknown
16481,htfazctoysu,unknown,unknown,unknown
16482,ezqkhflmaglmx,unknown,unknown,unknown
16483,reqfalmnglm,unknown,unknown,unknown
16484,tgkicvq,unknown,unknown,unknown
16485,teyboouqxktdupanu,unknown,unknown,unknown
16486,tnknwkolmzag,unknown,unknown,unknown
16487,uwawd,unknown,unknown,unknown
16488,hguuvusgzro,unknown,unknown,unknown
16489,pdezh,unknown,unknown,unknown
16490,I'd like to buy a skirt do you still have,Making Order,unknown,skirt
16491,xunqhlmz,unknown,unknown,unknown
16492,tqoktzz,unknown,unknown,unknown
16493,roralmk,unknown,unknown,unknown
16494,wxqkooii,unknown,unknown,unknown
16495,jabaitxfgpnysex,unknown,unknown,unknown
16496,I would like to take a pullover can i find,Making Order,unknown,pullover
16497,pcolmxiai,unknown,unknown,unknown
16498,eiseyvebdaf,unknown,unknown,unknown
16499,xulmebwjvpsfvuupcu,unknown,unknown,unknown
16500,ngjfhoodkidtoyu,unknown,unknown,unknown
16501,nnao,unknown,unknown,unknown
16502,oypaxavgryc,unknown,unknown,unknown
16503,qado,unknown,unknown,unknown
16504,jnovlmsnzjlmsedcy,unknown,unknown,unknown
16505,oj,unknown,unknown,unknown
16506,kez,unknown,unknown,unknown
16507,lmbggsnweg,unknown,unknown,unknown
16508,vceiajbd,unknown,unknown,unknown
16509,bvwhtsoeyrhe,unknown,unknown,unknown
16510,qxrtyunnsjkg,unknown,unknown,unknown
16511,ihzvbonpgjua,unknown,unknown,unknown
16512,qlmgawbfnycplmdvgc,unknown,unknown,unknown
16513,gp,unknown,unknown,unknown
16514,nghpuadjbkic,unknown,unknown,unknown
16515,lmefxppjynovolmr,unknown,unknown,unknown
16516,bbpt,unknown,unknown,unknown
16517,ooydbfasi,unknown,unknown,unknown
16518,I need to add a skirt is there available,Making Order,unknown,skirt
16519,rdfdzxwopu,unknown,unknown,unknown
16520,rj,unknown,unknown,unknown
16521,veqcuorbenzjejaou,unknown,unknown,unknown
16522,fkaoe,unknown,unknown,unknown
16523,ugdzggjstt,unknown,unknown,unknown
16524,eirglmofiwiog,unknown,unknown,unknown
16525,zhezoos,unknown,unknown,unknown
16526,qwbngqepztnhouvahtv,unknown,unknown,unknown
16527,wvlmelmjselmi,unknown,unknown,unknown
16528,yvqksozpi,unknown,unknown,unknown
16529,eyqtfko,unknown,unknown,unknown
16530,tvuvepoaovfzp,unknown,unknown,unknown
16531,gyctkqlm,unknown,unknown,unknown
16532,dlmojqjwfc,unknown,unknown,unknown
16533,aejolmwwngprvqepii,unknown,unknown,unknown
16534,nget,unknown,unknown,unknown
16535,jlmot,unknown,unknown,unknown
16536,nfylmzeblmxgfnjcddw,unknown,unknown,unknown
16537,ewcqzhprcxgvvlmql,unknown,unknown,unknown
16538,lmdpzjylmxpzihju,unknown,unknown,unknown
16539,slmvkiaoa,unknown,unknown,unknown
16540,gurc,unknown,unknown,unknown
16541,blmcvgehqrvrzv,unknown,unknown,unknown
16542,akfocthklmzygk,unknown,unknown,unknown
16543,I need to add a hat i am looking for,Making Order,unknown,hat
16544,zcqaeowhocwwobugwed,unknown,unknown,unknown
16545,jpxqeyrckcvt,unknown,unknown,unknown
16546,ajhkunvgxhulmq,unknown,unknown,unknown
16547,txkwgzdpcgwcqonub,unknown,unknown,unknown
16548,nravnaorvahhqnx,unknown,unknown,unknown
16549,ytlmnoiwnarfctzvb,unknown,unknown,unknown
16550,lmvzdzqgpccjp,unknown,unknown,unknown
16551,fakqitifwkdrqxnk,unknown,unknown,unknown
16552,qfgsheplmxoutao,unknown,unknown,unknown
16553,eholmhbiztxzr,unknown,unknown,unknown
16554,eornnty,unknown,unknown,unknown
16555,bfdjkytwaxigdg,unknown,unknown,unknown
16556,veilmtdgyt,unknown,unknown,unknown
16557,nkj,unknown,unknown,unknown
16558,teeagzqcjnsapu,unknown,unknown,unknown
16559,qrgskiyydwelmxe,unknown,unknown,unknown
16560,kasjpjwgnslm,unknown,unknown,unknown
16561,grwaheovkvqqo,unknown,unknown,unknown
16562,pynlmedgpyvapyszjb,unknown,unknown,unknown
16563,lmkgl,unknown,unknown,unknown
16564,ktztbrohqprnbbh,unknown,unknown,unknown
16565,gbzgycyzughhup,unknown,unknown,unknown
16566,tzyvvvxizfiszwyxv,unknown,unknown,unknown
16567,what about pullover,unknown,unknown,pullover
16568,ncksabyxwiu,unknown,unknown,unknown
16569,jzfszdzkkjsava,unknown,unknown,unknown
16570,do you have a red skirt,Check Availability,red,skirt
16571,aqeey,unknown,unknown,unknown
16572,gcjkcgqpoukbspz,unknown,unknown,unknown
16573,qw,unknown,unknown,unknown
16574,I'd like to add a t-shirt is there,Making Order,unknown,t-shirt
16575,gjop,unknown,unknown,unknown
16576,dzptu,unknown,unknown,unknown
16577,yvnx,unknown,unknown,unknown
16578,I need to order a jeans is there available,Making Order,unknown,jeans
16579,i am looking for a green jacket,Check Availability,green,jacket
16580,crkfnoe,unknown,unknown,unknown
16581,yrgowlmntn,unknown,unknown,unknown
16582,xddfhs,unknown,unknown,unknown
16583,ovtvpzarnpffqxq,unknown,unknown,unknown
16584,I want to take a chemise i am looking for,Making Order,unknown,chemise
16585,qkbfxvdnooncpipsur,unknown,unknown,unknown
16586,jx,unknown,unknown,unknown
16587,buiunbiredkqftixqbs,Check Availability,unknown,unknown
16588,ijqucoxlmwptueiy,unknown,unknown,unknown
16589,yitfko,unknown,unknown,unknown
16590,upjxdtnawn,unknown,unknown,unknown
16591,may i ask for a blue pantalon,Check Availability,blue,pantalon
16592,kbvbrvqkku,unknown,unknown,unknown
16593,jkizha,unknown,unknown,unknown
16594,eahfksjrnns,unknown,unknown,unknown
16595,do you have a blue t-shirt,Check Availability,blue,t-shirt
16596,fcvkbucdankqugh,unknown,unknown,unknown
16597,qyaqohbyb,unknown,unknown,unknown
16598,ecbubpeubtp,unknown,unknown,unknown
16599,uwsffdthbwzrdaotchu,unknown,unknown,unknown
16600,jkvtnxuclmy,unknown,unknown,unknown
16601,pcukhve,unknown,unknown,unknown
16602,jxwyxo,unknown,unknown,unknown
16603,jvzxzlmjyfxckr,unknown,unknown,unknown
16604,uusb,unknown,unknown,unknown
16605,beehikvkpwoprc,unknown,unknown,unknown
16606,ucjtdfghsfvci,unknown,unknown,unknown
16607,riozwazgpzhzvo,unknown,unknown,unknown
16608,ohvnywovjztosbux,unknown,unknown,unknown
16609,I want to order a skirt can i find,Making Order,unknown,skirt
16610,qivirce,unknown,unknown,unknown
16611,yziojfyzhutqk,unknown,unknown,unknown
16612,rtnzskqke,unknown,unknown,unknown
16613,lmnlminutypxxvozyf,unknown,unknown,unknown
16614,vciogl,unknown,unknown,unknown
16615,oibyjeocqkgsqclmdi,unknown,unknown,unknown
16616,I would like to order a may i ask for,Making Order,unknown,unknown
16617,wygthjxsqcs,unknown,unknown,unknown
16618,pixthqve,unknown,unknown,unknown
16619,vdakcidwiwsiptsxf,unknown,unknown,unknown
16620,ovegfvsp,unknown,unknown,unknown
16621,cvxusa,unknown,unknown,unknown
16622,bbtcpsrywosxbkbb,unknown,unknown,unknown
16623,rcqcbusyyca,unknown,unknown,unknown
16624,I would like to add a chemise is there available,Making Order,unknown,chemise
16625,zonxyouprzec,unknown,unknown,unknown
16626,iuzjcbpfxpgy,unknown,unknown,unknown
16627,lmqssvzqz,unknown,unknown,unknown
16628,ohnroobyx,unknown,unknown,unknown
16629,nppxgsreqaqk,unknown,unknown,unknown
16630,tdsn,unknown,unknown,unknown
16631,vcbexnn,unknown,unknown,unknown
16632,may i ask for a red pantalon,Check Availability,red,pantalon
16633,zbewbsciju,unknown,unknown,unknown
16634,rkcskucvwglmejwtz,unknown,unknown,unknown
16635,jyoeqyognux,unknown,unknown,unknown
16636,ejuwlmfplmfbzzy,unknown,unknown,unknown
16637,pxslmytgcsfpifi,unknown,unknown,unknown
16638,I need to order a hat do you still have,Making Order,unknown,hat
16639,ajyffuvpvedkcndl,unknown,unknown,unknown
16640,acpidbf,unknown,unknown,unknown
16641,kejvhrvvjtggajclm,unknown,unknown,unknown
16642,I'd like to add a body may i ask for,Making Order,unknown,body
16643,uenvdzuhukyvnyyqr,unknown,unknown,unknown
16644,okrvbyuqvkperevtez,unknown,unknown,unknown
16645,eq,unknown,unknown,unknown
16646,ysthdkvddglmh,unknown,unknown,unknown
16647,ibnykejwbfdwbfjnb,unknown,unknown,unknown
16648,frzrsrrounrtgb,unknown,unknown,unknown
16649,ngs,unknown,unknown,unknown
16650,pizxje,unknown,unknown,unknown
16651,I need to take a jacket is there,Making Order,unknown,jacket
16652,vjwrr,unknown,unknown,unknown
16653,hgkxhbopj,unknown,unknown,unknown
16654,qxntefdylm,unknown,unknown,unknown
16655,dzscqyszyuglmrzhtec,unknown,unknown,unknown
16656,can i find a green short,Check Availability,green,short
16657,what is the price of a blue hat,Asking for the price,blue,hat
16658,uwvybge,unknown,unknown,unknown
16659,szxsskvxwnxdoskosjv,unknown,unknown,unknown
16660,brngv,unknown,unknown,unknown
16661,can i find a gray body,Check Availability,gray,body
16662,zhwj,unknown,unknown,unknown
16663,hpzk,unknown,unknown,unknown
16664,tcqhxipftgyecpqwlmr,unknown,unknown,unknown
16665,bzblmdnxjaylmajyr,unknown,unknown,unknown
16666,ruaulmhwgsosdkigk,unknown,unknown,unknown
16667,gtbqcoxeobarxcc,unknown,unknown,unknown
16668,ttupkiqnubzigyzxiot,unknown,unknown,unknown
16669,xcnpg,unknown,unknown,unknown
16670,sxghq,unknown,unknown,unknown
16671,uwl,unknown,unknown,unknown
16672,lmnx,unknown,unknown,unknown
16673,asnkcdiof,unknown,unknown,unknown
16674,yqdf,unknown,unknown,unknown
16675,may i ask for a blue jeans,Check Availability,blue,jeans
16676,bkflmzorxwtiwpc,unknown,unknown,unknown
16677,xyafobinvnbt,unknown,unknown,unknown
16678,bpvuoufoiazz,unknown,unknown,unknown
16679,nepygtcydsvgareyj,unknown,unknown,unknown
16680,bifhqtbsgxdazc,unknown,unknown,unknown
16681,dzzap,unknown,unknown,unknown
16682,fjickdtxjwsyync,unknown,unknown,unknown
16683,nhjdvtbwiskwt,unknown,unknown,unknown
16684,xolmqi,unknown,unknown,unknown
16685,krq,unknown,unknown,unknown
16686,fkgbi,unknown,unknown,unknown
16687,iupe,unknown,unknown,unknown
16688,szaq,unknown,unknown,unknown
16689,xjhqlmxsfrazlmn,unknown,unknown,unknown
16690,opdvbd,unknown,unknown,unknown
16691,vcalmoztsrtr,unknown,unknown,unknown
16692,I want to take a shoes do you have,Making Order,unknown,shoes
16693,igviqwphudrrevp,unknown,unknown,unknown
16694,xeqfpqajjrqv,unknown,unknown,unknown
16695,cplmnwalmbu,unknown,unknown,unknown
16696,sbnuhoussigcv,unknown,unknown,unknown
16697,qduoqfxfgklmdja,unknown,unknown,unknown
16698,tfuegybelmilmf,unknown,unknown,unknown
16699,bqhdufpfiswjiohdej,unknown,unknown,unknown
16700,bfqzlmzsqsakue,unknown,unknown,unknown
16701,is there available a orange dress,Check Availability,orange,dress
16702,gpekatjfcezuvdct,unknown,unknown,unknown
16703,qqcqfsaeulmdik,unknown,unknown,unknown
16704,xzkvcofozy,unknown,unknown,unknown
16705,whcs,unknown,unknown,unknown
16706,qrjus,unknown,unknown,unknown
16707,whtdybeebhlmxc,unknown,unknown,unknown
16708,John was talking,unknown,unknown,unknown
16709,I'd like to take a short is there available,Making Order,unknown,short
16710,gqnqqh,unknown,unknown,unknown
16711,do you have a dress,unknown,unknown,dress
16712,vixrfwyqrj,unknown,unknown,unknown
16713,lmwdnvboetfrap,unknown,unknown,unknown
16714,unxvha,unknown,unknown,unknown
16715,tjcjgeqibbrsuxh,unknown,unknown,unknown
16716,pejfkjsydlmha,unknown,unknown,unknown
16717,uxgs,unknown,unknown,unknown
16718,wvso,unknown,unknown,unknown
16719,czvpxwpzaajjzg,unknown,unknown,unknown
16720,qnynogjo,unknown,unknown,unknown
16721,ctsthwojzkqg,unknown,unknown,unknown
16722,oqztctrcr,unknown,unknown,unknown
16723,ankhzlmgeoyghpxysds,unknown,unknown,unknown
16724,rwkggwhhuwsujgwn,unknown,unknown,unknown
16725,wfesyaaonzfau,unknown,unknown,unknown
16726,lmrbpixyfsgfxl,unknown,unknown,unknown
16727,iqhvxbntqqfue,unknown,unknown,unknown
16728,nxxoqbxatf,unknown,unknown,unknown
16729,xizjxfobctzuiykc,unknown,unknown,unknown
16730,hyjh,unknown,unknown,unknown
16731,hvnrtcf,unknown,unknown,unknown
16732,nbuwfoqqkuv,unknown,unknown,unknown
16733,gubs,unknown,unknown,unknown
16734,opuzde,unknown,unknown,unknown
16735,hrl,unknown,unknown,unknown
16736,I want to take a dress is there available,Making Order,unknown,dress
16737,hvseisgpu,unknown,unknown,unknown
16738,jijtdkw,unknown,unknown,unknown
16739,do you still have a red shoes,Check Availability,red,shoes
16740,bikauhiveuigwi,unknown,unknown,unknown
16741,rnqpriinydj,unknown,unknown,unknown
16742,qgglmewn,unknown,unknown,unknown
16743,qqidnxjkrzythalmzfz,unknown,unknown,unknown
16744,uxy,unknown,unknown,unknown
16745,I would like to add a chemise can i find,Making Order,unknown,chemise
16746,is there available a gray pantalon,Check Availability,gray,pantalon
16747,cya,unknown,unknown,unknown
16748,is there available a black dress,Check Availability,black,dress
16749,dpnxkxzthdpyxz,unknown,unknown,unknown
16750,htjvupuvcewi,unknown,unknown,unknown
16751,qwqostxfngwrr,unknown,unknown,unknown
16752,asfwhnpgzhhdwno,unknown,unknown,unknown
16753,zlmbeufzjknudqic,unknown,unknown,unknown
16754,etjulm,unknown,unknown,unknown
16755,I want to order a shirt is there available,Making Order,unknown,shirt
16756,syfpdajqgbbeije,unknown,unknown,unknown
16757,rzhoon,unknown,unknown,unknown
16758,ttqwotsuckj,unknown,unknown,unknown
16759,tazyhwl,unknown,unknown,unknown
16760,fqpzcxc,unknown,unknown,unknown
16761,I want to order a skirt i am looking for,Making Order,unknown,skirt
16762,jsxuksdcqbzdtrl,unknown,unknown,unknown
16763,ol,unknown,unknown,unknown
16764,I want to order a pantalon i am looking for,Making Order,unknown,pantalon
16765,is the red body expensive ?,Check Availability,red,body
16766,terwaxpgbkgejvklmcf,unknown,unknown,unknown
16767,httpzewayysueg,unknown,unknown,unknown
16768,njsi,unknown,unknown,unknown
16769,pssztlmkzfkbjv,unknown,unknown,unknown
16770,zwc,unknown,unknown,unknown
16771,ysnk,unknown,unknown,unknown
16772,I need to add a hat do you have,Making Order,unknown,hat
16773,lmeqpogjvtdtp,unknown,unknown,unknown
16774,wpwulmjan,unknown,unknown,unknown
16775,eokqwisfby,unknown,unknown,unknown
16776,uvevyqafeakl,unknown,unknown,unknown
16777,uswqylmepkxpnanparr,unknown,unknown,unknown
16778,qcwanfqzfzo,unknown,unknown,unknown
16779,pefcwfklm,unknown,unknown,unknown
16780,deaojirchzj,unknown,unknown,unknown
16781,kdfbckbisxcgznc,unknown,unknown,unknown
16782,gdpjxklmhgnpoaei,unknown,unknown,unknown
16783,lmodw,unknown,unknown,unknown
16784,qcgorskr,unknown,unknown,unknown
16785,dnio,unknown,unknown,unknown
16786,what about pink body,Check Availability,pink,body
16787,ikzctfvphhwblmf,unknown,unknown,unknown
16788,fiisqjpqywlmfiasydk,unknown,unknown,unknown
16789,jhku,unknown,unknown,unknown
16790,botrzi,unknown,unknown,unknown
16791,is there available a orange hat,Check Availability,orange,hat
16792,uwpzxsjuzwahw,unknown,unknown,unknown
16793,nlmzoaajhkx,unknown,unknown,unknown
16794,azcphqen,unknown,unknown,unknown
16795,uyfkutgv,unknown,unknown,unknown
16796,tpcl,unknown,unknown,unknown
16797,clmdknrnonpnqv,unknown,unknown,unknown
16798,xgvjlmvwckjocevf,unknown,unknown,unknown
16799,fgqyxivdhbfuu,unknown,unknown,unknown
16800,slmofzxhss,unknown,unknown,unknown
16801,how much does a olive jacket cost,Asking for the price,olive,jacket
16802,ksyqizlmwdoazt,unknown,unknown,unknown
16803,I want to buy a short is there,Making Order,unknown,short
16804,Elon is watching television,unknown,unknown,unknown
16805,I'd like to buy a shirt may i ask for,Making Order,unknown,shirt
16806,abzts,unknown,unknown,unknown
16807,ygbvxhujes,unknown,unknown,unknown
16808,cdahovdcfncqfefxix,unknown,unknown,unknown
16809,kryjkjorc,unknown,unknown,unknown
16810,khkrvvcw,unknown,unknown,unknown
16811,tqfqqvd,unknown,unknown,unknown
16812,iay,unknown,unknown,unknown
16813,giqswylmtx,unknown,unknown,unknown
16814,sojwrzurjz,unknown,unknown,unknown
16815,ceocvzsunujyenueddt,unknown,unknown,unknown
16816,jqsbvbsuqlm,unknown,unknown,unknown
16817,zgchaiysvd,unknown,unknown,unknown
16818,shytuazhhelmwyhccxb,unknown,unknown,unknown
16819,zzblmrfsbzvupdat,unknown,unknown,unknown
16820,ctpyfbipurvgd,unknown,unknown,unknown
16821,sqidpbdx,unknown,unknown,unknown
16822,tglmnndgpgklmzzlmt,unknown,unknown,unknown
16823,xxezqeaovngojo,unknown,unknown,unknown
16824,what about gray t-shirt,Check Availability,gray,t-shirt
16825,adlmlmtk,unknown,unknown,unknown
16826,gtulmdhousnskrslm,unknown,unknown,unknown
16827,stlmqbpphyd,unknown,unknown,unknown
16828,bsbwzxgcona,unknown,unknown,unknown
16829,zsnugbxbceygiswigt,unknown,unknown,unknown
16830,hgndw,unknown,unknown,unknown
16831,apnuup,unknown,unknown,unknown
16832,jcsvxpts,unknown,unknown,unknown
16833,fwrnxebq,unknown,unknown,unknown
16834,ooucbyecs,unknown,unknown,unknown
16835,cuyqrg,unknown,unknown,unknown
16836,uzlmojdpvveokb,unknown,unknown,unknown
16837,yh,unknown,unknown,unknown
